#;NAME;ELONG;ELAT;F0;PEPOCH;BINARY
1;J0002+6216;37.55;54.07;8.6682478274;55806;*
2;J0006+1834;8.99;16.40;1.4414462816;49079.5;*
3;J0007+7303;53.15;60.94;3.165827392;54952;*
4;J0011+08;5.91;6.34;0.391716;57022;*
5;B0011+47;26.40;41.51;0.805997239145;49664.00;*
6;J0021-0909;1.33;-10.58;0.43212768588;58388.0;*
7;J0023+0923;9.070390815;6.30910834;327.8470205611185;56845.00;ELL1
8;J0024-7204aa;311.25;-62.35;543.478261;57022;*
9;J0024-7204ab;311.26;-62.35;269.93179806134;51600;*
10;J0024-7204ac;311.28;-62.35;364.963504;*;BT
11;J0024-7204ad;311.28;-62.35;267.379679;*;BT
12;B0021-72C;311.24;-62.33;173.708218965958;51600;*
13;B0021-72D;311.27;-62.36;186.651669856731;51600;*
14;B0021-72E;311.25;-62.36;282.779107035000;51600;DD
15;B0021-72F;311.25;-62.35;381.158663656311;51600;*
16;B0021-72G;311.26;-62.35;247.501525096385;51600;*
17;B0021-72H;311.28;-62.35;311.49341784423;51600;DD
18;B0021-72I;311.26;-62.35;286.94469953049;51600;ELL1
19;B0021-72J;311.27;-62.34;476.04685844061;51600;BTX
20;B0021-72L;311.25;-62.35;230.08774629142;51600;*
21;B0021-72M;311.22;-62.35;271.98722878874;51600;*
22;B0021-72N;311.27;-62.35;327.44431861739;51600;*
23;J0024-7204O;311.25;-62.35;378.308788360098;51600;BTX
24;J0024-7204P;311.29;-62.36;274.49748;51000;BT
25;J0024-7204Q;311.28;-62.36;247.943237418920;51600;ELL1
26;J0024-7204R;311.26;-62.35;287.31811946930;51600;ELL1
27;J0024-7204S;311.26;-62.35;353.306209385356;51600;ELL1
28;J0024-7204T;311.26;-62.35;131.77869947406;51600;ELL1
29;J0024-7204U;311.29;-62.35;230.264772211776;51600;ELL1
30;J0024-7204V;311.25;-62.35;207.892963;51000;BTX
31;J0024-7204W;311.25;-62.35;425.10779625320;50000;BTX
32;J0024-7204X;311.39;-62.34;209.576694635350;54000;ELL1
33;J0024-7204Y;311.25;-62.35;455.23717843241;51600;ELL1
34;J0024-7204Z;311.25;-62.35;219.5656060346;51600;*
35;J0025-19;357.86;-19.86;0.8;*;*
36;J0026+6320;42.16;53.04;3.1411201226;56675;*
37;J0030+0451;8.910353563;1.4456974;205.53069910059;55664.00;*
38;J0033+57;36.94;47.59;3.174603;54100;*
39;J0033+61;40.63;50.78;1.096491;54100;*
40;J0034-0534;5.67;-8.53;532.71342974902;55000;ELL1
41;B0031-07;4.90;-10.15;1.0605004987209;46635.00;*
42;J0034+69;50.78;57.16;27.17087;56292;*
43;J0038-2501;358.05;-26.61;3.89216435552;57474;*
44;J0039+35;24.16;28.77;1.863238;*;*
45;B0037+56;38.41;47.22;0.8942741320036;49667.00;*
46;J0043-73;310.66;-64.15;1.0667470;57990.69;*
47;J0045-7042;315.74;-63.10;1.58143821680;52407.0;*
48;J0045-7319;310.54;-64.35;1.07959193868;49144.00;BT
49;B0045+33;25.35747;26.52166;0.821629025162;49875.00;*
50;J0050+03;13.10;-1.49;0.731764;57022;*
51;J0051+0423;13.55;-1.05;2.81903117539;49800.0;*
52;J0052-72;313.62;-64.26;5.2234507;58008.54;*
53;J0054+66;48.72;53.17;0.719424;54100;*
54;J0054+69;52.71;55.70;*;*;*
55;J0054+6946;53.17957;55.915268;1.200607994501;56500;*
56;B0052+51;36.47;41.00;0.4727749811340;49664.00;*
57;B0053+47;34.41337;38.03833;2.11847951725;49872.00;*
58;J0057-7201;314.16;-64.59;1.3548989114;51213.0;*
59;J0058+4950;35.9410;39.55191;1.00399242379;56500;*
60;J0058+6125;44.75;49.29;1.569859;54100;*
61;J0058-7218;313.62;-64.75;45.9429870;58924.0;*
62;J0059+69;53.86;55.75;0.872676;*;*
63;J0100-7211;314.04;-64.87;0.12468219;53032;*
64;J0100+8023;69.55;62.54;0.66952288764;56676;*
